model,model_id,pooling_strategy,language,category,category_text,emotion,condition,condition_emotion,emotion_strategy,emotion_terms,condition_emotion_terms,neutral_strategy,neutral_terms,candidate,candidate_category,candidate_source,rank,cosine_similarity,projection_on_emotion_direction,same_category,candidate_identical_to_category,candidate_contains_emotion,average_similarity_top_k,average_projection_top_k,category_retention_at_k,direction_norm,query_norm
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,disgust,vocabulary,disgust,6,0.4056515097618103,0.25197064876556396,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,cuisine,vocabulary,cuisine,7,0.40267235040664673,-0.013914881274104118,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,feel,vocabulary,feel,8,0.4012201428413391,0.2984144687652588,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foodie,vocabulary,foodie,9,0.4008037745952606,0.06774754822254181,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,emotion,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foodies,vocabulary,foodies,10,0.38567253947257996,0.08949941396713257,False,False,False,0.4277864098548889,0.15569116938859223,0.0,1.1069309711456299,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,identity,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foods,vocabulary,foods,1,0.8107296228408813,-0.03769002854824066,False,False,False,0.6134310185909271,0.001349075697362423,0.0,0.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,identity,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,cuisine,vocabulary,cuisine,2,0.6590136289596558,-0.013914881274104118,False,False,False,0.6134310185909271,0.001349075697362423,0.0,0.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,identity,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,meal,vocabulary,meal,3,0.602020800113678,-0.08846154808998108,False,False,False,0.6134310185909271,0.001349075697362423,0.0,0.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,identity,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,foodstuffs,vocabulary,foodstuffs,4,0.6004464626312256,-0.025358671322464943,False,False,False,0.6134310185909271,0.001349075697362423,0.0,0.0,1.0
arctic_embed_l_v2,Snowflake/snowflake-arctic-embed-l-v2.0,,en,food,food,disgust,identity,disgust,centroid_phrases,feeling disgusted; feeling revolted; feeling repulsed,feeling disgusted; feeling revolted; feeling repulsed,neutral_centroid,neutral; ordinary; plain; average,cooking,vocabulary,cooking,5,0.5900893807411194,0.09465567767620087,False,False,False,0.6134310185909271,0.001349075697362423,0.0,0.0,1.0
