model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
gemini,pl,food,joy,centroid_phrases,neutral_centroid,0.008651684597134593,-0.0017426960170268875,0.0005763874389231324,-0.005191169772297117,0.01039438061416148,0.008075297158211462,0.013842854369431709
gemini,pl,food,sadness,centroid_phrases,neutral_centroid,0.03111459780484433,0.013734850473701932,0.01750655174255367,0.03132745637558395,0.0173797473311424,0.01360804606229066,-0.00021285857073961856
gemini,pl,object,anger,centroid_phrases,neutral_centroid,0.06292523853480811,0.04160209987312552,0.05118495766073461,0.06596265025436875,0.02132313866168259,0.0117402808740735,-0.003037411719560637
gemini,pl,object,disgust,centroid_phrases,neutral_centroid,0.07594706285744902,0.029487264039926197,0.0391264314530417,0.05080080833286042,0.046459798817522824,0.03682063140440733,0.0251462545245886
gemini,pl,object,joy,centroid_phrases,neutral_centroid,0.08858988471329206,0.06329092960804696,0.07614824604243034,0.08409381918609135,0.025298955105245102,0.012441638670861718,0.004496065527200707
gemini,pl,object,sadness,centroid_phrases,neutral_centroid,0.0881277915090322,0.04737179903313513,0.04737179903313513,0.0738010130822658,0.04075599247589707,0.04075599247589707,0.014326778426766398
gemini,pl,person,anger,centroid_phrases,neutral_centroid,0.09879126418381926,0.01283185402862724,0.01050317953340706,0.06427397616207595,0.08595941015519201,0.0882880846504122,0.03451728802174331
gemini,pl,person,disgust,centroid_phrases,neutral_centroid,0.0984083176590502,-0.01078208507969974,-0.01339076906442641,0.01713864048942921,0.10919040273874994,0.1117990867234766,0.081269677169621
gemini,pl,person,joy,centroid_phrases,neutral_centroid,0.06346812280826267,0.006017017224803551,5.2905315533280374e-05,0.04848199984990058,0.05745110558345912,0.06341521749272938,0.014986122958362089
gemini,pl,person,sadness,centroid_phrases,neutral_centroid,0.09031148795038457,0.006253619119524939,0.00849648229777811,0.04849111679941413,0.08405786883085964,0.08181500565260647,0.04182037115097044
gemini,pl,place,anger,centroid_phrases,neutral_centroid,0.0546955911442637,0.028936049528419928,0.02967593204230065,0.03481626268476244,0.025759541615843772,0.02501965910196305,0.019879328459501258
gemini,pl,place,disgust,centroid_phrases,neutral_centroid,0.06830883175134654,0.023399644391611192,0.01851491061970588,0.018794532073661642,0.04490918735973535,0.04979392113164066,0.0495142996776849
gemini,pl,place,joy,centroid_phrases,neutral_centroid,0.02825129898264999,0.01752931410446758,0.016753062745556192,0.02092980276793237,0.010721984878182409,0.011498236237093798,0.007321496214717619
gemini,pl,place,sadness,centroid_phrases,neutral_centroid,0.05493682269006963,0.03455527592450375,0.02711176592856641,0.056771937198936875,0.020381546765565882,0.02782505676150322,-0.0018351145088672458
gemini,pl,situation,anger,centroid_phrases,neutral_centroid,0.04208458364009854,0.03279583826661108,0.03346480466425416,0.04253119770437477,0.009288745373487457,0.008619778975844379,-0.00044661406427622813
gemini,pl,situation,disgust,centroid_phrases,neutral_centroid,0.08300733938813205,0.06001623123884196,0.06001623123884196,0.04014699533581728,0.02299110814929009,0.02299110814929009,0.04286034405231477
gemini,pl,situation,joy,centroid_phrases,neutral_centroid,0.07933265939354893,0.03788416573079298,0.03788416573079298,0.04398833477171133,0.04144849366275595,0.04144849366275595,0.0353443246218376
gemini,pl,situation,sadness,centroid_phrases,neutral_centroid,0.0687328089959919,0.04466709895059463,0.04466709895059463,0.04726873682811852,0.024065710045397273,0.024065710045397273,0.02146407216787339
gemini,zh,food,anger,centroid_phrases,neutral_centroid,0.042120125237852316,0.0147468569688499,0.02065440407022833,0.04535475904121992,0.027373268269002417,0.021465721167623984,-0.0032346338033676023
gemini,zh,food,disgust,centroid_phrases,neutral_centroid,0.09452513409778474,0.030176846683025383,0.01816645357757808,0.016788943856954598,0.06434828741475936,0.07635868052020665,0.07773619024083014
gemini,zh,food,joy,centroid_phrases,neutral_centroid,0.008532681269571171,-0.008582938881590962,-0.010555451037362211,-0.01173252309672532,0.017115620151162133,0.019088132306933382,0.02026520436629649
gemini,zh,food,sadness,centroid_phrases,neutral_centroid,0.09550553169101472,0.06681520175188775,0.05992339011281724,0.10273395236581559,0.02869032993912697,0.03558214157819748,-0.007228420674800867
gemini,zh,object,anger,centroid_phrases,neutral_centroid,0.046777416393160784,0.01967344186268745,0.01987098208628593,0.04167347066104408,0.027103974530473335,0.026906434306874855,0.005103945732116706
gemini,zh,object,disgust,centroid_phrases,neutral_centroid,0.054491312429308825,0.013456889800727321,0.01169878812506791,0.030703115276992272,0.04103442262858151,0.042792524304240916,0.023788197152316552
gemini,zh,object,joy,centroid_phrases,neutral_centroid,0.055112362839281524,0.02844339087605472,0.03102279379963873,0.037506087403744406,0.026668971963226804,0.024089569039642794,0.017606275435537118
gemini,zh,object,sadness,centroid_phrases,neutral_centroid,0.08053456917405125,0.03000647276639936,0.03068658038973806,0.06264425106346602,0.050528096407651886,0.04984798878431319,0.017890318110585224
gemini,zh,person,anger,centroid_phrases,neutral_centroid,0.11478055301122363,0.00256206030026076,0.00222600190900264,0.04670111457817254,0.11221849271096286,0.11255455110222098,0.06807943843305109
gemini,zh,person,disgust,centroid_phrases,neutral_centroid,0.11719378102570768,0.00904972814023492,0.01503618657588956,0.02573502538725731,0.10814405288547277,0.10215759444981812,0.09145875563845038
gemini,zh,person,joy,centroid_phrases,neutral_centroid,0.08064957261085506,0.0208272670395672,0.04778199549764392,0.040720958262681926,0.05982230557128786,0.032867577113211144,0.03992861434817314
gemini,zh,person,sadness,centroid_phrases,neutral_centroid,0.10055886521004138,0.014981420757248962,0.014981420757248962,0.06013155370019372,0.08557744445279242,0.08557744445279242,0.040427311509847665
gemini,zh,place,anger,centroid_phrases,neutral_centroid,0.07715520570054647,0.022809605067595808,0.02144262003712353,0.06692514987662432,0.054345600632950665,0.055712585663422944,0.010230055823922155
gemini,zh,place,disgust,centroid_phrases,neutral_centroid,0.07390010631643232,0.01166248363442716,0.02061502062715588,0.032134971115738084,0.06223762268200516,0.05328508568927644,0.041765135200694234
gemini,zh,place,joy,centroid_phrases,neutral_centroid,0.045597440190613236,0.00178534798324109,0.00658001136034727,0.00791548583656548,0.043812092207372144,0.03901742883026597,0.03768195435404775
gemini,zh,place,sadness,centroid_phrases,neutral_centroid,0.06794259808957573,0.01289513753727078,0.029457115475088346,0.05980309257283804,0.05504746055230495,0.03848548261448738,0.008139505516737686
gemini,zh,situation,anger,centroid_phrases,neutral_centroid,0.07725585512816903,0.06552191618829963,0.05284676086157558,0.06741013266146179,0.011733938939869404,0.024409094266593448,0.009845722466707243
gemini,zh,situation,disgust,centroid_phrases,neutral_centroid,0.08263097647577519,0.05773943299427622,0.061507117934524944,0.04996176832355555,0.024891543481498975,0.02112385854125025,0.032669208152219645
